code,name,description,refreshed_at
20MICRONS,20 Microns Limited,Historical prices for 20 Microns Limited<br><br>National Stock Exchange of India<br><br>Ticker: 20MICRONS<br><br>ISIN: INE144J01027,20/09/2018
21STCENMGM,21st Century Management Services Limited,Historical prices for 21st Century Management Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: 21STCENMGM<br><br>ISIN: INE253B01015,21/09/2018
3IINFOTECH,3i Infotech Limited,Historical prices for 3i Infotech Limited<br><br>National Stock Exchange of India<br><br>Ticker: 3IINFOTECH<br><br>ISIN: INE748C01020,22/09/2018
3MINDIA,3M India Limited,Historical prices for 3M India Limited<br><br>National Stock Exchange of India<br><br>Ticker: 3MINDIA<br><br>ISIN: INE470A01017,23/09/2018
3PLAND,3P Land Holdings Limited,Historical prices for 3P Land Holdings Limited<br><br>National Stock Exchange of India<br><br>Ticker: 3PLAND<br><br>ISIN: INE105C01023,24/09/2018
5PAISA,5Paisa Capital Limited,Historical prices for 5Paisa Capital Limited<br><br>National Stock Exchange of India<br><br>Ticker: 5PAISA<br><br>ISIN: INE618L01018,25/09/2018
63MOONS,63 moons technologies limited,Historical prices for 63 moons technologies limited<br><br>National Stock Exchange of India<br><br>Ticker: 63MOONS<br><br>ISIN: INE111B01023,26/09/2018
8KMILES,8K Miles Software Services Limited,Historical prices for 8K Miles Software Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: 8KMILES<br><br>ISIN: INE650K01021,27/09/2018
A2ZINFRA,A2Z Infra Engineering Limited,Historical prices for A2Z Infra Engineering Limited<br><br>National Stock Exchange of India<br><br>Ticker: A2ZINFRA<br><br>ISIN: INE619I01012,28/09/2018
A2ZMES,A2Z Maintenance & Engineering Services Limited,"Historical prices for A2Z Maintenance & Engineering Services Limited (A2ZMES), (ISIN: INE619I01012),  National Stock Exchange of India.",29/09/2018
AANJANEYA,Aanjaneya Lifecare Limited,"Historical prices for Aanjaneya Lifecare Limited (AANJANEYA), (ISIN: INE928K01013),  National Stock Exchange of India.",30/09/2018
AARTIDRUGS,Aarti Drugs Limited,Historical prices for Aarti Drugs Limited<br><br>National Stock Exchange of India<br><br>Ticker: AARTIDRUGS<br><br>ISIN: INE767A01016,1/10/2018
AARTIIND,Aarti Industries Limited,Historical prices for Aarti Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: AARTIIND<br><br>ISIN: INE769A01020,2/10/2018
AARVEEDEN,Aarvee Denims & Exports Limited,Historical prices for Aarvee Denims & Exports Limited<br><br>National Stock Exchange of India<br><br>Ticker: AARVEEDEN<br><br>ISIN: INE273D01019,3/10/2018
ABAN,Aban Offshore Limited,Historical prices for Aban Offshore Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABAN<br><br>ISIN: INE421A01028,4/10/2018
ABB,ABB India Limited,Historical prices for ABB India Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABB<br><br>ISIN: INE117A01022,5/10/2018
ABBOTINDIA,Abbott India Limited,Historical prices for Abbott India Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABBOTINDIA<br><br>ISIN: INE358A01014,6/10/2018
ABCAPITAL,Aditya Birla Capital Limited,Historical prices for Aditya Birla Capital Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABCAPITAL<br><br>ISIN: INE674K01013,7/10/2018
ABCIL,Aditya Birla Chemicals (India) Limited,Historical prices for Aditya Birla Chemicals (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABCIL<br><br>ISIN: INE605B01016,8/10/2018
ABFRL,Aditya Birla Fashion and Retail Limited,Historical prices for Aditya Birla Fashion and Retail Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABFRL<br><br>ISIN: INE647O01011,9/10/2018
ABGSHIP,ABG Shipyard Limited,Historical prices for ABG Shipyard Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABGSHIP<br><br>ISIN: INE067H01016,10/10/2018
ABHISHEK,Abhishek Corporation Limited,"Historical prices for Abhishek Corporation Limited (ABHISHEK), (ISIN: INE004I01017),  National Stock Exchange of India.",11/10/2018
ABIRLANUVO,Aditya Birla Nuvo Limited,Historical prices for Aditya Birla Nuvo Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABIRLANUVO<br><br>ISIN: INE069A01017,12/10/2018
ABMINTLTD,ABM International Limited,Historical prices for ABM International Limited<br><br>National Stock Exchange of India<br><br>Ticker: ABMINTLTD<br><br>ISIN: INE251C01017,13/10/2018
ACC,ACC Limited,Historical prices for ACC Limited<br><br>National Stock Exchange of India<br><br>Ticker: ACC<br><br>ISIN: INE012A01025,14/10/2018
ACCELYA,Accelya Kale Solutions Limited,Historical prices for Accelya Kale Solutions Limited<br><br>National Stock Exchange of India<br><br>Ticker: ACCELYA<br><br>ISIN: INE793A01012,15/10/2018
ACE,Action Construction Equipment Limited,Historical prices for Action Construction Equipment Limited<br><br>National Stock Exchange of India<br><br>Ticker: ACE<br><br>ISIN: INE731H01025,16/10/2018
ACKRUTI,Ackruti City Limited,"Historical prices for Ackruti City Limited (ACKRUTI), (ISIN: INE703H01016),  National Stock Eschange of India.",17/10/2018
ACROPETAL,Acropetal Technologies Limited,Historical prices for Acropetal Technologies Limited<br><br>National Stock Exchange of India<br><br>Ticker: ACROPETAL<br><br>ISIN: INE055L01013,18/10/2018
ADANIENT,Adani Enterprises Limited,Historical prices for Adani Enterprises Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADANIENT<br><br>ISIN: INE423A01024,19/10/2018
ADANIGREEN,Adani Green Energy Limited,Historical prices for Adani Green Energy Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADANIGREEN<br><br>ISIN: INE364U01010,20/10/2018
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Historical prices for Adani Ports and Special Economic Zone Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADANIPORTS<br><br>ISIN: INE742F01042,21/10/2018
ADANIPOWER,Adani Power Limited,Historical prices for Adani Power Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADANIPOWER<br><br>ISIN: INE814H01011,22/10/2018
ADANITRANS,Adani Transmission Limited,Historical prices for Adani Transmission Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADANITRANS<br><br>ISIN: INE931S01010,23/10/2018
ADFFOODS,ADF Foods Limited,Historical prices for ADF Foods Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADFFOODS<br><br>ISIN: INE982B01019,24/10/2018
ADHUNIK,Adhunik Metaliks Limited,Historical prices for Adhunik Metaliks Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADHUNIK<br><br>ISIN: INE400H01019,25/10/2018
ADHUNIKIND,Adhunik Industries Limited,Historical prices for Adhunik Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADHUNIKIND<br><br>ISIN: INE452L01012,26/10/2018
ADI,Adi Finechem Limited,Historical prices for Adi Finechem Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADI<br><br>ISIN: INE959A01019,27/10/2018
ADLABS,Adlabs Entertainment Limited,Historical prices for Adlabs Entertainment Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADLABS<br><br>ISIN: INE172N01012,28/10/2018
ADORWELD,Ador Welding Limited,Historical prices for Ador Welding Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADORWELD<br><br>ISIN: INE045A01017,29/10/2018
ADROITINFO,Adroit Infotech Limited,Historical prices for Adroit Infotech Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADROITINFO<br><br>ISIN: INE737B01033,30/10/2018
ADSL,Allied Digital Services Limited,Historical prices for Allied Digital Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADSL<br><br>ISIN: INE102I01027,31/10/2018
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Historical prices for Advani Hotels & Resorts (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADVANIHOTR<br><br>ISIN: INE199C01026,1/11/2018
ADVANTA,Advanta Limited,Historical prices for Advanta Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADVANTA<br><br>ISIN: INE517H01028,2/11/2018
ADVENZYMES,Advanced Enzyme Technologies Limited,Historical prices for Advanced Enzyme Technologies Limited<br><br>National Stock Exchange of India<br><br>Ticker: ADVENZYMES<br><br>ISIN: INE837H01020,3/11/2018
AEGISCHEM,Aegis Logistics Limited,Historical prices for Aegis Logistics Limited<br><br>National Stock Exchange of India<br><br>Ticker: AEGISCHEM<br><br>ISIN: INE208C01025,4/11/2018
AFL,Accel Frontline Limited,Historical prices for Accel Frontline Limited<br><br>National Stock Exchange of India<br><br>Ticker: AFL<br><br>ISIN: INE020G01017,5/11/2018
AFTEK,Aftek Limited,Historical prices for Aftek Limited<br><br>National Stock Exchange of India<br><br>Ticker: AFTEK<br><br>ISIN: INE796A01023,6/11/2018
AGARIND,Agarwal Industrial Corporation Limited,Historical prices for Agarwal Industrial Corporation Limited<br><br>National Stock Exchange of India<br><br>Ticker: AGARIND<br><br>ISIN: INE204E01012,7/11/2018
AGCNET,AGC Networks Limited,Historical prices for AGC Networks Limited<br><br>National Stock Exchange of India<br><br>Ticker: AGCNET<br><br>ISIN: INE676A01019,8/11/2018
AGLSL,Artemis Global Life Sciences Limited,Historical prices for Artemis Global Life Sciences Limited<br><br>National Stock Exchange of India<br><br>Ticker: AGLSL<br><br>ISIN: INE517U01013,9/11/2018
AGRE,Agre Developers Limited,"Historical prices for Agre Developers Limited (AGRE), (ISIN: INE360L01017),  National Stock Eschange of India.",10/11/2018
AGRITECH,Agri-Tech (India) Limited,Historical prices for Agri-Tech (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: AGRITECH<br><br>ISIN: INE449G01018,11/11/2018
AGRODUTCH,Agro Dutch Industries Limited,Historical prices for Agro Dutch Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: AGRODUTCH<br><br>ISIN: INE135B01014,12/11/2018
AHLEAST,Asian Hotels (East) Limited,Historical prices for Asian Hotels (East) Limited<br><br>National Stock Exchange of India<br><br>Ticker: AHLEAST<br><br>ISIN: INE926K01017,13/11/2018
AHLUCONT,Ahluwalia Contracts (India) Limited,Historical prices for Ahluwalia Contracts (India) Limited<br><br>National Stock Exchange of India<br><br>Ticker: AHLUCONT<br><br>ISIN: INE758C01029,14/11/2018
AHLWEST,Asian Hotels (West) Limited,Historical prices for Asian Hotels (West) Limited<br><br>National Stock Exchange of India<br><br>Ticker: AHLWEST<br><br>ISIN: INE915K01010,15/11/2018
AHMEDFORGE,Ahmednagar Forgings Limited,"Historical prices for Ahmednagar Forgings Limited (AHMEDFORGE), (ISIN: INE425A01011),  National Stock Exchange of India.",16/11/2018
AIAENG,AIA Engineering Limited,Historical prices for AIA Engineering Limited<br><br>National Stock Exchange of India<br><br>Ticker: AIAENG<br><br>ISIN: INE212H01026,17/11/2018
AICHAMP,AI Champdany Industries Limited,Historical prices for AI Champdany Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: AICHAMP<br><br>ISIN: INE768E01024,18/11/2018
AIFL,Ashapura Intimates Fashion Limited,Historical prices for Ashapura Intimates Fashion Limited<br><br>National Stock Exchange of India<br><br>Ticker: AIFL<br><br>ISIN: INE428O01016,19/11/2018
AIL,Alstom India Limited,Historical prices for Alstom India Limited<br><br>National Stock Exchange of India<br><br>Ticker: AIL<br><br>ISIN: INE878A01011,20/11/2018
AIONJSW,Monnet Ispat & Energy Limited,Historical prices for Monnet Ispat & Energy Limited<br><br>National Stock Exchange of India<br><br>Ticker: AIONJSW<br><br>ISIN: INE743C01021,21/11/2018
AJANTPHARM,Ajanta Pharma Limited,Historical prices for Ajanta Pharma Limited<br><br>National Stock Exchange of India<br><br>Ticker: AJANTPHARM<br><br>ISIN: INE031B01049,22/11/2018
AJMERA,Ajmera Realty & Infra India Limited,Historical prices for Ajmera Realty & Infra India Limited<br><br>National Stock Exchange of India<br><br>Ticker: AJMERA<br><br>ISIN: INE298G01027,23/11/2018
AKSHARCHEM,AksharChem India Limited,Historical prices for AksharChem India Limited<br><br>National Stock Exchange of India<br><br>Ticker: AKSHARCHEM<br><br>ISIN: INE542B01011,24/11/2018
AKSHOPTFBR,Aksh Optifibre Limited,Historical prices for Aksh Optifibre Limited<br><br>National Stock Exchange of India<br><br>Ticker: AKSHOPTFBR<br><br>ISIN: INE523B01011,25/11/2018
AKZOINDIA,Akzo Nobel India Limited,Historical prices for Akzo Nobel India Limited<br><br>National Stock Exchange of India<br><br>Ticker: AKZOINDIA<br><br>ISIN: INE133A01011,26/11/2018
